id_vuelo,id_piloto,id_licencia,rol
77,15,12,Copiloto
147,25,47,Copiloto
17,59,17,Piloto
143,0,37,Copiloto
130,23,49,Copiloto
100,54,0,Piloto
82,23,49,Copiloto
90,17,28,Copiloto
3,59,17,Copiloto
132,8,15,Copiloto
76,8,45,Copiloto
51,59,17,Piloto
111,21,51,Copiloto
86,0,37,Piloto
115,21,22,Piloto
21,24,35,Piloto
84,24,35,Piloto
83,37,25,Copiloto
12,8,15,Piloto
107,8,45,Copiloto
19,7,7,Piloto
107,0,37,Piloto
56,21,51,Copiloto
60,0,37,Piloto
141,7,7,Piloto
9,31,50,Piloto
136,21,22,Piloto
8,7,7,Piloto
147,24,35,Piloto
76,10,11,Piloto
128,25,36,Piloto
55,8,15,Copiloto
70,15,46,Piloto
127,25,47,Copiloto
118,23,49,Copiloto
100,8,15,Copiloto
127,31,50,Piloto
108,59,17,Piloto
139,25,47,Piloto
59,59,17,Copiloto
33,25,36,Piloto
53,21,22,Copiloto
43,21,51,Piloto
146,0,37,Piloto
110,8,15,Piloto
68,7,7,Piloto
73,59,48,Copiloto
29,59,17,Copiloto
28,7,7,Copiloto
144,8,45,Copiloto
44,15,46,Piloto
124,41,19,Piloto
32,21,22,Copiloto
41,8,15,Copiloto
35,59,17,Copiloto
34,41,19,Copiloto
100,8,45,Copiloto
144,25,47,Piloto
127,25,36,Copiloto
44,23,49,Copiloto
45,38,40,Copiloto
71,7,7,Copiloto
88,8,45,Copiloto
63,37,25,Piloto
96,37,25,Piloto
31,59,48,Piloto
112,25,36,Copiloto
137,54,0,Copiloto
21,25,47,Copiloto
32,21,51,Copiloto
134,15,12,Piloto
132,54,0,Piloto
135,21,22,Piloto
135,31,50,Copiloto
29,59,48,Copiloto
87,8,45,Copiloto
109,34,41,Copiloto
91,25,47,Piloto
72,25,47,Piloto
123,38,31,Piloto
38,21,22,Piloto
128,25,47,Piloto
11,29,26,Piloto
66,10,11,Copiloto
56,8,45,Piloto
103,25,36,Copiloto
126,9,29,Piloto
79,17,28,Piloto
94,25,47,Copiloto
88,15,46,Piloto
117,59,48,Copiloto
138,54,0,Piloto
109,34,2,Copiloto
36,21,22,Copiloto
80,8,45,Copiloto
13,59,17,Piloto
111,59,48,Piloto
130,15,46,Piloto
44,15,12,Piloto
43,54,0,Copiloto
98,59,48,Piloto
126,59,17,Copiloto
26,23,49,Piloto
45,38,31,Copiloto
131,15,12,Copiloto
120,8,45,Piloto
114,17,28,Piloto
7,24,35,Copiloto
139,25,36,Piloto
89,34,41,Piloto
108,34,2,Copiloto
48,59,17,Piloto
99,59,48,Copiloto
27,37,25,Copiloto
20,59,17,Copiloto
18,37,25,Piloto
109,8,15,Piloto
45,8,15,Piloto
88,15,12,Piloto
0,8,15,Piloto
52,59,48,Copiloto
99,38,31,Piloto
128,7,7,Copiloto
41,8,45,Copiloto
90,38,40,Piloto
101,59,17,Copiloto
139,21,22,Copiloto
106,34,41,Copiloto
70,15,12,Piloto
131,8,15,Piloto
5,38,31,Copiloto
137,25,36,Piloto
69,10,11,Piloto
4,37,25,Piloto
91,25,36,Piloto
81,25,36,Piloto
61,21,51,Piloto
54,21,51,Piloto
84,21,22,Copiloto
78,10,11,Piloto
22,23,49,Piloto
139,21,51,Copiloto
146,24,35,Copiloto
96,23,49,Copiloto
140,59,17,Copiloto
141,25,47,Copiloto
133,21,51,Piloto
148,0,37,Piloto
137,25,47,Piloto
142,25,36,Piloto
3,37,25,Piloto
121,34,2,Copiloto
134,17,28,Copiloto
11,29,44,Piloto
52,59,17,Copiloto
148,25,36,Copiloto
119,25,36,Copiloto
125,24,35,Piloto
9,59,17,Copiloto
104,24,35,Piloto
31,59,17,Piloto
133,21,22,Piloto
94,25,36,Copiloto
45,8,45,Piloto
80,25,47,Piloto
135,21,51,Piloto
80,25,36,Piloto
131,8,45,Piloto
15,59,48,Copiloto
50,34,2,Copiloto
98,21,51,Copiloto
129,37,25,Piloto
55,25,36,Piloto
51,59,48,Piloto
0,8,45,Piloto
81,37,25,Copiloto
145,0,37,Copiloto
31,9,29,Copiloto
122,0,37,Copiloto
75,54,0,Piloto
39,31,50,Copiloto
88,8,15,Copiloto
38,25,47,Copiloto
67,8,15,Piloto
5,9,29,Piloto
119,25,47,Copiloto
22,0,37,Copiloto
92,10,11,Copiloto
74,59,48,Piloto
102,41,19,Piloto
72,25,36,Piloto
61,21,22,Piloto
93,24,35,Copiloto
106,9,29,Piloto
90,38,31,Piloto
145,25,47,Piloto
95,25,36,Piloto
5,38,40,Copiloto
20,59,48,Copiloto
34,34,41,Piloto
116,23,49,Piloto
123,38,40,Piloto
37,25,36,Piloto
39,59,17,Piloto
16,37,25,Piloto
58,25,47,Copiloto
62,23,49,Piloto
108,34,41,Copiloto
102,34,2,Copiloto
29,25,36,Piloto
111,59,17,Piloto
97,31,50,Copiloto
1,59,48,Copiloto
76,8,15,Copiloto
13,59,48,Piloto
136,7,7,Copiloto
92,23,49,Piloto
124,21,51,Copiloto
13,7,7,Copiloto
10,41,19,Copiloto
33,9,29,Copiloto
131,15,46,Copiloto
110,8,45,Piloto
102,34,41,Copiloto
84,21,51,Copiloto
86,59,17,Copiloto
117,38,40,Piloto
77,38,40,Piloto
62,0,37,Copiloto
85,24,35,Copiloto
70,0,37,Copiloto
24,23,49,Copiloto
112,24,35,Piloto
93,41,19,Piloto
71,31,50,Piloto
25,24,35,Copiloto
47,17,28,Copiloto
1,7,7,Piloto
52,23,49,Piloto
129,59,17,Copiloto
14,23,49,Piloto
125,25,36,Copiloto
148,25,47,Copiloto
89,17,28,Copiloto
23,31,50,Piloto
57,59,48,Copiloto
37,31,50,Copiloto
74,38,40,Copiloto
109,8,45,Piloto
117,59,17,Copiloto
85,31,50,Piloto
86,59,48,Copiloto
113,37,25,Piloto
130,15,12,Piloto
29,25,47,Piloto
147,25,36,Copiloto
26,31,50,Copiloto
50,41,19,Piloto
58,24,35,Piloto
66,59,17,Piloto
133,7,7,Copiloto
54,7,7,Copiloto
37,25,47,Piloto
144,25,36,Piloto
138,25,36,Copiloto
105,31,50,Piloto
1,59,17,Copiloto
0,10,11,Copiloto
46,15,12,Piloto
65,9,29,Copiloto
27,9,29,Piloto
17,59,48,Piloto
73,34,41,Piloto
97,23,49,Piloto
69,31,50,Copiloto
11,54,0,Copiloto
53,59,48,Piloto
32,37,25,Piloto
49,0,37,Copiloto
66,59,48,Piloto
30,34,41,Copiloto
143,24,35,Piloto
80,8,15,Copiloto
98,59,17,Piloto
49,54,0,Piloto
61,7,7,Copiloto
2,37,25,Copiloto
28,21,51,Piloto
101,59,48,Copiloto
78,0,37,Copiloto
140,59,48,Copiloto
87,7,7,Piloto
73,59,17,Copiloto
114,41,19,Copiloto
72,0,37,Copiloto
43,21,22,Piloto
15,59,17,Copiloto
77,38,31,Piloto
14,31,50,Copiloto
68,37,25,Copiloto
105,37,25,Copiloto
48,23,49,Copiloto
94,37,25,Piloto
58,25,36,Copiloto
59,59,48,Copiloto
46,0,37,Copiloto
60,8,45,Copiloto
47,34,41,Piloto
65,59,17,Piloto
115,54,0,Copiloto
141,25,36,Copiloto
24,15,12,Piloto
117,38,31,Piloto
12,10,11,Copiloto
38,21,51,Piloto
83,54,0,Piloto
124,21,22,Copiloto
46,15,46,Piloto
20,41,19,Piloto
53,59,17,Piloto
4,59,48,Copiloto
42,34,2,Piloto
67,8,45,Piloto
106,34,2,Copiloto
8,25,36,Copiloto
33,25,47,Piloto
47,34,2,Piloto
103,7,7,Piloto
111,21,22,Copiloto
113,54,0,Copiloto
2,59,48,Piloto
142,8,45,Copiloto
50,34,41,Copiloto
41,17,28,Piloto
142,25,47,Piloto
103,25,47,Copiloto
74,59,17,Piloto
42,34,41,Piloto
53,21,51,Copiloto
7,37,25,Piloto
121,38,40,Piloto
17,31,50,Copiloto
118,17,28,Piloto
16,31,50,Copiloto
140,21,51,Piloto
6,34,2,Piloto
81,25,47,Piloto
64,8,45,Copiloto
55,25,47,Piloto
23,0,37,Copiloto
36,17,28,Piloto
119,8,15,Piloto
6,8,15,Copiloto
59,0,37,Piloto
51,7,7,Copiloto
6,8,45,Copiloto
39,59,48,Piloto
82,37,25,Piloto
104,41,19,Copiloto
3,59,48,Copiloto
115,21,51,Piloto
132,8,45,Copiloto
95,25,47,Piloto
28,21,22,Piloto
121,38,31,Piloto
79,37,25,Copiloto
107,8,15,Copiloto
77,15,46,Copiloto
64,8,15,Copiloto
126,59,48,Copiloto
65,59,48,Piloto
54,21,22,Piloto
24,15,46,Piloto
30,41,19,Piloto
112,25,47,Copiloto
116,0,37,Copiloto
99,59,17,Copiloto
119,8,45,Piloto
6,34,41,Piloto
10,31,50,Piloto
25,41,19,Piloto
48,59,48,Piloto
74,38,31,Copiloto
12,8,45,Piloto
35,37,25,Piloto
125,25,47,Copiloto
73,34,2,Piloto
110,23,49,Copiloto
40,0,37,Copiloto
40,7,7,Piloto
99,38,40,Piloto
144,8,15,Copiloto
64,38,40,Piloto
18,31,50,Copiloto
122,23,49,Piloto
136,21,51,Piloto
30,34,2,Copiloto
57,31,50,Piloto
2,59,17,Piloto
21,25,36,Copiloto
101,54,0,Piloto
121,34,41,Copiloto
15,37,25,Piloto
35,59,48,Copiloto
120,17,28,Copiloto
129,59,48,Copiloto
64,38,31,Piloto
95,24,35,Copiloto
60,8,15,Copiloto
140,21,22,Piloto
67,37,25,Copiloto
75,0,37,Copiloto
34,34,2,Piloto
138,25,47,Copiloto
38,25,36,Copiloto
57,59,17,Copiloto
8,25,47,Copiloto
36,21,51,Copiloto
4,59,17,Copiloto
145,25,36,Piloto
98,21,22,Copiloto
120,8,15,Piloto
42,9,29,Copiloto
56,21,22,Copiloto
142,8,15,Copiloto
56,8,15,Piloto
89,34,2,Piloto
63,24,35,Copiloto
87,8,15,Copiloto
9,59,48,Copiloto
19,0,37,Copiloto
55,8,45,Copiloto
123,59,17,Copiloto
134,15,46,Piloto
108,59,48,Piloto
91,37,25,Copiloto
11,29,52,Piloto
123,59,48,Copiloto
