id,codigo,id_aerolinea,id_origen,id_destino,id_avion,id_ruta,fecha_salida,fecha_llegada,velocidad,altitud,estado
124,IBE8751,7,55,7,1,22,2022-04-18T19:43:00.0,2022-04-18T23:35:00.0,244.76,12429.35,publicado
58,XLE4796,20,29,41,2,149,2022-04-08T02:45:00.0,2022-04-08T15:08:00.0,277.94,11155.8,aceptado
127,ADC6283,1,71,33,1,268,2022-04-21T15:10:00.0,2022-04-21T17:05:00.0,223.44,11784.6,publicado
26,LAW3477,12,29,61,3,100,2022-05-23T19:15:00.0,2022-05-23T19:30:00.0,257.37,12475.23,aceptado
69,ETA8726,6,67,59,2,168,2022-06-25T15:34:00.0,2022-06-25T17:59:00.0,252.12,11714.55,aceptado
13,KAI2862,8,1,53,4,79,2022-05-05T11:22:00.0,2022-05-05T15:36:00.0,257.23,10237.24,pendiente
21,XLE2673,20,43,9,5,93,2022-06-08T17:04:00.0,2022-06-08T23:05:00.0,227.16,10964.27,pendiente
8,KAI2227,8,71,61,6,71,2022-06-06T17:38:00.0,2022-06-07T16:03:00.0,230.26,11532.03,pendiente
130,LRC9669,13,47,5,7,122,2022-04-21T00:18:00.0,2022-04-21T11:38:00.0,278.48,12735.41,publicado
147,UCA2299,19,39,61,8,143,2022-05-17T11:50:00.0,2022-05-17T16:40:00.0,222.01,11860.63,aceptado
19,AZI2817,2,17,1,9,89,2022-05-16T22:10:00.0,2022-05-16T23:14:00.0,246.7,12027.48,pendiente
49,AZI3471,2,43,11,5,137,2022-04-19T15:09:00.0,2022-04-19T16:23:00.0,247.73,12987.08,aceptado
145,UCA2499,19,45,61,8,143,2022-05-19T11:20:00.0,2022-05-19T13:40:00.0,222.01,11860.63,aceptado
72,UCA2714,19,39,9,10,171,2022-06-17T01:45:00.0,2022-06-17T15:20:00.0,262.82,10989.54,aceptado
98,COG3144,4,39,71,11,213,2022-04-21T13:35:00.0,2022-04-22T12:11:00.0,275.75,12577.42,publicado
31,QAF4555,17,39,69,2,53,2022-05-27T00:12:00.0,2022-05-27T14:39:00.0,232.27,12733.02,aceptado
121,LUD7177,14,27,65,3,258,2022-04-19T19:49:00.0,2022-04-19T23:28:00.0,274.05,10323.27,publicado
114,ETA7128,6,5,23,12,243,2022-04-02T07:09:00.0,2022-04-02T13:47:00.0,276.91,10655.87,publicado
79,LAT6995,11,29,9,12,184,2022-04-03T10:52:00.0,2022-04-03T16:22:00.0,269.49,12616.26,aceptado
120,ETA6742,6,41,61,1,186,2022-04-15T09:36:00.0,2022-04-15T17:22:00.0,270.08,12393.83,publicado
77,EAL8614,5,29,57,13,179,2022-05-20T05:57:00.0,2022-05-20T11:15:00.0,247.51,11551.22,aceptado
148,UCA2199,19,39,61,8,143,2022-05-16T10:20:00.0,2022-05-16T15:40:00.0,222.01,11860.63,aceptado
45,LUD5592,14,75,33,14,130,2022-05-26T03:44:00.0,2022-05-26T12:31:00.0,226.71,10440.19,aceptado
113,KEA7139,9,17,41,13,242,2022-04-07T10:27:00.0,2022-04-07T21:54:00.0,227.21,11695.3,publicado
12,ETA2413,6,61,63,15,78,2022-06-03T06:46:00.0,2022-06-03T23:35:00.0,268.92,12082.72,pendiente
55,UCA2899,19,39,61,8,143,2022-05-25T10:44:00.0,2022-05-25T13:24:00.0,222.01,11860.63,aceptado
4,BTA6594,3,49,33,2,66,2022-06-24T13:41:00.0,2022-06-24T17:53:00.0,226.47,11489.8,pendiente
107,UCA4751,19,37,61,2,162,2022-04-30T19:06:00.0,2022-05-01T15:20:00.0,243.37,11981.22,publicado
103,BTA9626,3,57,5,16,235,2022-06-16T00:06:00.0,2022-06-16T15:47:00.0,223.67,11504.47,publicado
134,LAT4657,11,9,65,7,274,2022-04-18T02:42:00.0,2022-04-19T12:45:00.0,227.06,10242.34,publicado
6,LUD6229,14,49,43,4,68,2022-05-16T08:17:00.0,2022-05-17T18:38:00.0,260.53,12751.78,pendiente
93,IBE4998,7,77,71,17,126,2022-06-16T03:31:00.0,2022-06-16T05:19:00.0,252.63,10950.12,borrador
0,LAM8686,10,39,13,18,60,2022-05-08T03:27:00.0,2022-05-08T12:52:00.0,233.23,10291.38,pendiente
94,BTA4673,3,15,1,2,14,2022-04-04T15:19:00.0,2022-04-04T16:37:00.0,264.47,12216.99,borrador
66,LAM4734,10,9,3,12,162,2022-05-22T19:37:00.0,2022-05-23T13:31:00.0,234.66,11336.85,aceptado
43,KAI8523,8,19,73,13,125,2022-05-10T02:00:00.0,2022-05-10T06:42:00.0,265.33,11477.83,aceptado
9,LAW5896,12,1,31,6,72,2022-05-07T18:43:00.0,2022-05-08T22:50:00.0,267.26,12823.47,pendiente
102,LUD5927,14,75,37,19,23,2022-05-23T12:27:00.0,2022-05-23T16:54:00.0,252.73,10327.48,publicado
118,MPH1782,15,33,61,8,115,2022-05-04T19:23:00.0,2022-05-04T20:48:00.0,279.83,12940.19,publicado
138,KAI2257,8,41,61,6,71,2022-06-13T12:00:00.0,2022-06-13T21:00:00.0,230.26,11532.03,aceptado
2,LAW7561,12,65,53,20,62,2022-06-25T01:08:00.0,2022-06-25T12:04:00.0,261.03,11987.63,pendiente
126,QAF4466,17,39,45,1,46,2022-04-15T01:23:00.0,2022-04-15T02:07:00.0,255.46,12397.71,publicado
143,UCA2699,19,41,61,8,143,2022-05-22T10:00:00.0,2022-05-22T13:00:00.0,222.01,11860.63,aceptado
65,BTA6916,3,21,9,19,161,2022-05-26T05:52:00.0,2022-05-26T22:45:00.0,254.85,10601.73,aceptado
84,XLE4241,20,27,57,11,194,2022-05-23T03:22:00.0,2022-05-24T23:37:00.0,267.94,10051.46,aceptado
70,LRC4224,13,65,61,2,80,2022-06-07T11:02:00.0,2022-06-07T14:03:00.0,247.54,11515.87,aceptado
22,NCY9851,16,59,57,8,94,2022-04-14T18:12:00.0,2022-04-14T18:14:00.0,227.19,10310.52,pendiente
7,KEA7963,9,1,75,3,69,2022-06-09T11:37:00.0,2022-06-09T20:32:00.0,239.19,12272.95,pendiente
92,MPH4719,15,77,51,21,208,2022-06-19T08:57:00.0,2022-06-19T16:53:00.0,224.21,11110.31,borrador
18,LAW7592,12,75,45,5,87,2022-04-03T17:01:00.0,2022-04-03T17:05:00.0,275.28,12628.82,pendiente
122,NCY1133,16,71,57,1,261,2022-04-13T01:11:00.0,2022-04-13T21:15:00.0,224.56,12338.48,publicado
68,BTA8963,3,3,51,2,166,2022-05-21T04:36:00.0,2022-05-21T14:18:00.0,247.95,11004.49,aceptado
67,LAT4157,11,37,61,10,163,2022-06-17T23:32:00.0,2022-06-18T23:34:00.0,248.16,10841.19,aceptado
30,LUD2683,14,17,47,20,105,2022-05-14T05:54:00.0,2022-05-15T22:21:00.0,225.6,11955.62,aceptado
15,QAF8375,17,65,43,22,82,2022-06-05T06:12:00.0,2022-06-05T21:27:00.0,256.36,12834.27,pendiente
1,BTA4764,3,39,33,6,45,2022-04-07T13:09:00.0,2022-04-07T21:56:00.0,231.19,12686.21,pendiente
16,LAW4374,12,53,15,21,84,2022-06-01T09:01:00.0,2022-06-01T13:11:00.0,263.96,10516.56,pendiente
78,IBE9967,7,3,67,19,181,2022-05-06T06:22:00.0,2022-05-06T06:45:00.0,249.11,12128.87,aceptado
136,KAI2237,8,71,73,6,71,2022-06-08T17:30:00.0,2022-06-08T20:03:00.0,230.26,11532.03,aceptado
38,KAI6386,8,69,39,9,53,2022-04-29T11:26:00.0,2022-04-29T19:26:00.0,265.53,11756.68,aceptado
90,EAL9637,5,59,31,4,51,2022-05-22T12:12:00.0,2022-05-22T22:41:00.0,223.2,11752.33,borrador
50,LUD1927,14,65,7,1,138,2022-05-13T13:39:00.0,2022-05-13T15:50:00.0,245.97,11542.14,aceptado
119,ADC8249,1,61,13,2,90,2022-05-29T01:26:00.0,2022-05-29T22:55:00.0,260.62,11557.23,publicado
144,UCA2599,19,41,61,23,143,2022-05-21T11:30:00.0,2022-05-22T13:30:00.0,222.01,11860.63,aceptado
101,AZI6476,2,41,61,24,92,2022-04-27T08:57:00.0,2022-04-27T21:25:00.0,239.08,12076.34,publicado
61,ADC9962,1,27,11,4,152,2022-04-03T10:57:00.0,2022-04-03T23:52:00.0,247.2,10020.24,aceptado
54,KAI2257,8,23,43,21,29,2022-04-19T11:18:00.0,2022-04-20T02:37:00.0,277.97,11622.19,aceptado
140,KAI2457,8,5,73,6,71,2022-06-18T11:00:00.0,2022-06-18T15:20:00.0,230.26,11532.03,aceptado
89,COG2223,4,45,13,25,202,2022-05-02T14:17:00.0,2022-05-02T23:52:00.0,241.96,11428.57,rechazado
23,NCY9589,16,11,11,14,95,2022-04-16T07:33:00.0,2022-04-16T19:04:00.0,277.23,12372.54,pendiente
3,KEA5763,9,39,61,13,64,2022-06-19T05:56:00.0,2022-06-20T12:08:00.0,229.24,10586.82,pendiente
105,LAW6351,12,17,1,20,88,2022-04-27T20:26:00.0,2022-04-28T17:11:00.0,266.28,12673.53,publicado
133,KAI7891,8,73,53,7,134,2022-04-15T03:19:00.0,2022-04-15T22:46:00.0,266.59,12980.84,publicado
132,LAT2175,11,17,1,7,88,2022-04-20T02:16:00.0,2022-04-20T10:17:00.0,270.23,11972.5,publicado
52,LAW4331,12,15,13,17,69,2022-06-11T14:59:00.0,2022-06-12T08:52:00.0,275.53,10442.21,aceptado
